3.065945368485885614e-01 1.404433012856738329e+09
3.169967438969559237e-01 1.453913682075439453e+09
3.277372765435344615e-01 1.505137643144956589e+09
3.388261072571596144e-01 1.558166315333158493e+09
3.502734278736894802e-01 1.613063281817801237e+09
3.620896486692722904e-01 1.669894365924908161e+09
3.742853968648784391e-01 1.728727710053176165e+09
3.868715145123404198e-01 1.789633857379028797e+09
3.998590557090911379e-01 1.852685836440270424e+09
4.132592830856891553e-01 1.917959248699787617e+09
4.270836635069902854e-01 1.985532359194266796e+09
4.413438629244368361e-01 2.055486190376628160e+09
4.560517403135425085e-01 2.127904619264705420e+09
4.712193406270720475e-01 2.202874478012623787e+09
4.868588866908150625e-01 2.280485658025505543e+09
5.029827699651512329e-01 2.360831217742323875e+09
5.196035400918318503e-01 2.444007494216114521e+09
5.367338931416203440e-01 2.530114218625382900e+09
5.543866584745917869e-01 2.619254635855168819e+09
5.725747841210466760e-01 2.711535628291164398e+09
5.913113205871962652e-01 2.807067843975333691e+09
6.106094029859687744e-01 2.905965829276654720e+09
6.304822313896325525e-01 3.008348166236110210e+09
6.509430492973002913e-01 3.114337614750590324e+09
6.720051201069786595e-01 3.224061259766154289e+09
6.936817014786024194e-01 3.337650663657211304e+09
7.159860174714668402e-01 3.455242023974263668e+09
7.389312283368615342e-01 3.576976336749393940e+09
7.625303978443414010e-01 3.702999565555304050e+09
7.867964580182426060e-01 3.833462816520571232e+09
8.117421711596928269e-01 3.968522519511038780e+09
8.373800890286030585e-01 4.108340615694542885e+09
8.637225090600614275e-01 4.253084751713846684e+09
8.907814274903008700e-01 4.402928480700671196e+09
9.185684892690041403e-01 4.558051470371785164e+09
9.470949346373582767e-01 4.718639718456693649e+09
9.763715422550637291e-01 4.884885775715244293e+09
1.006408568764500799e+00 5.056988976812498093e+09
1.037215684686783046e+00 5.235155679327766418e+09
1.068801906552409919e+00 5.419599511184376717e+09
1.101175525178994086e+00 5.610541626796766281e+09
1.134344030020230543e+00 5.808210972242152214e+09
1.168314029523960906e+00 6.012844559774646759e+09
1.203091167453216537e+00 6.224687752010982513e+09
1.238680035142536884e+00 6.443994556128648758e+09
1.275084079682951455e+00 6.671027928429074287e+09
1.312305508052963976e+00 6.906060089631180763e+09
